player_name,season,do_or_die_points,team_name,player_id,match_played,position_id,position_name,high_5s,avg_raid_points,raid_points,successful_raids,successful_tackles,super_10s,super_raids,super_tackles,tackle_points,total_points,z_score_do_or_die_points,z_score_high_5s,z_score_avg_raid_points,z_score_raid_points,z_score_successful_raids,z_score_successful_tackles,z_score_super_10s,z_score_super_raids,z_score_super_tackles,z_score_tackle_points,z_score_total_points
Bhanu Pratap Tomar,6,1.0,U.P. Yoddha,2278,6,8.0,Raider,0.0,1.5,9.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,-0.361115610242114,-0.44714607015407415,0.17794307865963963,-0.11655586348704482,-0.1578200737384827,-0.6551802819939377,-0.3118428343415906,-0.5029957698887288,-0.7292021184632329,-0.8373549847127643,-0.37039140547080196
Bhavani Rajput,5,1.0,Tamil Thalaivas,660,4,8.0,Raider,0.0,0.75,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,-0.361115610242114,-0.44714607015407415,-0.2210355894834149,-0.3472266299692592,-0.3960628368101539,-0.6551802819939377,-0.3118428343415906,-0.5029957698887288,-0.7292021184632329,-0.8373549847127643,-0.5872898582484366
Bhupender Singh,6,6.0,Bengal Warriors,34,4,1.0,All Rounder,1.0,2.5,10.0,6.0,2.0,0.0,1.0,1.0,0.0,13.0,0.6209110132939946,0.48667279458758345,0.7099146361837123,-0.0781107357400091,-0.1578200737384827,-0.47132122735866794,-0.3118428343415906,0.4821462042974862,-0.050289801273326475,-0.8373549847127643,-0.2257924369523789
Bhuvneshwar Gaur,6,0.0,Haryana Steelers,2315,6,8.0,Raider,0.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,-0.5575209349493357,-0.44714607015407415,-0.08804270010239672,-0.231891246728152,-0.30076573158148545,-0.6551802819939377,-0.3118428343415906,-0.5029957698887288,-0.7292021184632329,-0.8373549847127643,-0.4788406318596193
C Kalai Arasan,6,0.0,Gujarat Fortunegiants,620,2,9.0,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5575209349493357,-0.44714607015407415,-0.6200142576264694,-0.4625620132103664,-0.4437113894244882,-0.6551802819939377,-0.3118428343415906,-0.5029957698887288,-0.7292021184632329,-0.8373549847127643,-0.6957390846372539
C Manoj Kumar,6,1.0,Telugu Titans,2274,12,4.0,"Defender, left cover",0.0,1.11,10.0,7.0,4.0,0.0,0.0,0.0,0.33,14.0,-0.361115610242114,-0.44714607015407415,-0.029525828774748675,-0.0781107357400091,-0.11017152112414846,-0.28746217272339813,-0.3118428343415906,-0.5029957698887288,-0.7292021184632329,-0.4467938839310181,-0.18964269482277313
C. Arun,7,0.0,Telugu Titans,191,14,4.0,"Defender, left cover",1.0,0.13,2.0,1.0,15.0,0.0,0.0,3.0,1.29,20.0,-0.5575209349493357,0.48667279458758345,-0.5508579551483399,-0.3856717577162949,-0.3960628368101539,0.723762627770586,-0.3118428343415906,-0.5029957698887288,1.3075348331064864,0.6893838637976981,0.02725575795486146
CPO Surjeet Singh,6,4.0,Tamil Thalaivas,119,9,8.0,Raider,0.0,1.78,16.0,10.0,4.0,1.0,1.0,0.0,0.24,16.0,0.22810036387955115,-0.44714607015407415,0.32689511476638,0.15256003074220528,0.03277413671885426,-0.28746217272339813,0.47400110819921776,0.4821462042974862,-0.7292021184632329,-0.5533105477805853,-0.1173432105635616
Chand Singh,7,0.0,Haryana Steelers,2514,4,3.0,"Defender, left corner",0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,5.0,-0.5575209349493357,-0.44714607015407415,-0.6200142576264694,-0.42411688546333065,-0.3960628368101539,-0.379391700041033,-0.3118428343415906,-0.5029957698887288,-0.050289801273326475,0.3461635025046484,-0.514990373989225
Chandran Ranjit,7,7.0,Dabang Delhi K.C.,36,13,8.0,Raider,0.0,5.31,69.0,54.0,3.0,1.0,3.0,1.0,0.31,73.0,0.8173163380012164,-0.44714607015407415,2.2047547128263565,2.190151801335099,2.129310451749561,-0.379391700041033,0.47400110819921776,2.4524301526699164,-0.050289801273326475,-0.4704642536753664,1.943192090823967
